user_id,item_id,category_id,behavior_type,behavior_time,price
2857,983,3,pv,2026-01-01 00:25:03,9.0
2780,983,3,pv,2026-01-01 00:25:05,8.41
391,1891,64,pv,2026-01-01 00:32:07,57.14
4359,539,4,pv,2026-01-01 01:51:08,52.87
368,1891,64,pv,2026-01-01 01:57:13,69.92
4359,539,4,cart,2026-01-01 02:02:08,52.87
2857,983,3,fav,2026-01-01 03:11:03,9.0
2780,983,3,cart,2026-01-01 03:20:05,8.41
1199,2632,56,pv,2026-01-01 03:44:24,21.67
2128,1891,64,pv,2026-01-01 04:36:58,40.49
2438,1891,64,pv,2026-01-01 04:56:03,46.83
2091,1891,64,pv,2026-01-01 05:35:03,43.58
1444,1891,64,pv,2026-01-01 05:44:24,74.55
2639,983,3,pv,2026-01-01 06:02:55,11.03
2214,983,3,pv,2026-01-01 06:08:26,10.76
4933,688,57,pv,2026-01-01 06:12:14,40.14
4241,1891,64,pv,2026-01-01 06:20:28,49.92
3740,1891,64,pv,2026-01-01 06:35:37,50.3
4957,983,3,pv,2026-01-01 06:48:45,6.98
1225,1891,64,pv,2026-01-01 07:00:21,47.32
1561,983,3,pv,2026-01-01 07:06:58,7.23
4224,249,16,pv,2026-01-01 07:09:26,38.68
929,1891,64,pv,2026-01-01 07:19:34,27.35
4324,1891,64,pv,2026-01-01 07:23:18,78.24
2850,1891,64,pv,2026-01-01 07:24:08,54.3
3507,1891,64,pv,2026-01-01 07:25:13,57.2
3326,1891,64,pv,2026-01-01 07:33:24,41.06
3853,1891,64,pv,2026-01-01 07:46:38,40.83
2438,1891,64,fav,2026-01-01 07:55:03,46.83
2416,688,57,pv,2026-01-01 07:59:13,26.64
869,1891,64,pv,2026-01-01 08:01:55,29.4
2438,1891,64,cart,2026-01-01 08:04:03,46.83
4437,1891,64,pv,2026-01-01 08:07:43,48.51
3076,1891,64,pv,2026-01-01 08:07:51,50.15
4941,1891,64,pv,2026-01-01 08:23:09,59.64
4933,688,57,cart,2026-01-01 08:23:14,40.14
3620,1891,64,pv,2026-01-01 08:23:22,33.05
4318,1891,64,pv,2026-01-01 08:28:47,24.46
2202,1891,64,pv,2026-01-01 08:41:25,44.34
3197,688,57,pv,2026-01-01 08:41:32,20.0
180,1891,64,pv,2026-01-01 08:42:13,34.28
3426,1891,64,pv,2026-01-01 08:44:12,61.7
1939,983,3,pv,2026-01-01 08:44:44,9.38
